embark_ID,Accession_num,Artist,Printer,Title,Year_Made,Year_Acqd,Media,Media_AAT,Dimensions,Label,Credit_Line,Notes
209,025.1998,John Marin,,"Grain Elevators, Abstraction",1917,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",7 3/4 in. x 9 1/2 in. (19.69 cm x 24.13 cm),,Promised Gift of Norma B. Marin,
212,025.2005,Alex Katz,,Morning,1993,2005,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",126 in. x 96 in. (320.04 cm x 243.84 cm),,"Private Collection, New York",
214,025.2007,James McNeill Whistler,,The Venetian Mast,1879-1880,2007,Etching and drypoint in dark brown ink on cream laid paper; twelfth (final) state,"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(plate: 341 x 161 mm),,The Lunder Collection,
6065,025.2008,James McNeill Whistler,,Blue and Opal: Herring Fleet,1884,2008,Oil on wood,"oil paint (paint) AAT:(300015050), wood (plant material) AAT:(300011914)",4 7/8 in. x 8 3/4 in. (12.38 cm x 22.23 cm),,The Lunder Collection,
6846,025.2009,Clemens Kalischer,,"India, Madras Beach, Mother and Child",1964,2009,Gelatin silver print,gelatin silver prints AAT:(300128695),11 in. x 14 in. (27.94 cm x 35.56 cm),,The Lunder Collection,
7197,025.2010,Paul Kos,,XC on Brushstrokes,2005,2010,Acrylic paint on canvas with video projection,"acrylic paint AAT:(300015058), canvas AAT:(300014078)",37 1/2 in. x 56 1/4 in. (95.25 cm x 142.88 cm),,The Lunder Collection,
7466,025.2011,James McNeill Whistler,,"Cameo, No. 1 (Mother and Child)",1891,2011,Etching in dark brown ink on cream Japanese paper; only state,"etchings (prints) AAT:(300041365), ink AAT:(300015012), Japanese paper (handmade paper) AAT:(300014143)",(174 x 127 mm; 178 x 127 mm),,The Lunder Collection,
216,026.1998,John Marin,,"Street Scene, Abstraction",1917,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
217,026.2002,James McNeill Whistler,,Original Backing to Savoy Scaffolding,ca. 1888,2002,Paper on wood,"paper (fiber product) AAT:(300014109), wood (plant material) AAT:(300011914)",,,The Lunder Collection,
221,026.2006,Anonymous,,Whistler with Cape and Cane,ca. 1885,2006,,,,,The Lunder Collection,
6121,026.2008,Wayne Thiebaud,,Pastries,1971,2008,Gouache on paper,"gouache (paint) AAT:(300070114), paper (fiber product) AAT:(300014109)",15 in. x 22 1/4 in. (38.1 cm x 56.52 cm),,"The Lunder Collection, Art © Wayne Thiebaud / Licensed by VAGA, New York, NY",
6857,026.2009,Clemens Kalischer,,"Val Grana, Italy",,2009,Gelatin silver print,gelatin silver prints AAT:(300128695),11 in. x 14 in. (27.94 cm x 35.56 cm),,The Lunder Collection,
7198,026.2010,Malvina Hoffman,,Bacchanale Russe,1917,2010,Bronze,bronze (metal) AAT:(300010957),40 3/4 in. x 24 3/4 in. x 22 3/4 in. (103.51 cm x 62.87 cm x 57.79 cm),,The Lunder Collection,
7471,026.2011,James McNeill Whistler,,Murano - Glass Furnace,1879-1880,2011,Drypoint in brown black ink on ivory laid paper; first state (of four),"drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(158 x 236 mm; 167 x 238 mm),,The Lunder Collection,
224,027.1998,John Marin,,"Downtown, New York, Three Movements",1925,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
225,027.2002,Alex Katz,,Tan Woods,1993,2002,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",120 1/2 in. x 216 in. (306.07 cm x 548.64 cm),,Promised Gift of the Artist,
229,027.2006,Anonymous,,"Cheyne Walk, Battersea Bridge Pier",,2006,Albumen print,albumen prints AAT:(300127121),13 1/2 in. x 16 15/16 in. (34.29 cm x 43.02 cm),,The Lunder Collection,
230,027.2007,Alex Katz,,Unfamiliar Image,2001,2007,Silkscreen on paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",30 in. x 40 in. (76.2 cm x 101.6 cm),,Promised Gift of the Artist,
6239,027.2008,John Coffer,,Head on the Shed,2004,2008,Tintype,tintypes (prints) AAT:(300134759),20 in. x 24 in. (50.8 cm x 60.96 cm),,The Lunder Collection,
6858,027.2009,Clemens Kalischer,,"London-England, Two Young Men on Wall",1962,2009,Gelatin silver print,gelatin silver prints AAT:(300128695),11 in. x 14 in. (27.94 cm x 35.56 cm),,The Lunder Collection,
7470,027.2011,Winslow Homer,,Evening on the Beach,1871-1878,2011,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",12 in. x 19 in. (30.48 cm x 48.26 cm),,The Lunder Collection,
7985,027.2013,Jacob Lawrence,,Often Three Families Share One Toilet,1943,2013,Watercolor and gouache on paper,"watercolors (paintings) AAT:(300078925), gouache (paint) AAT:(300070114), paper (fiber product) AAT:(300014109)",21 1/8 in. x 14 3/4 in. (53.66 cm x 37.47 cm),,The Lunder Collection,
232,028.1998,John Marin,,St. Paul's Against the El,1930,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
233,028.2002,Alex Katz,,Green Dusk,1996,2002,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",105 in. x 240 in. (266.7 cm x 609.6 cm),,Promised Gift of the Artist ,
236,028.2006,H.S. Mendelssohn,,Portrait of Whistler,ca. 1885,2006,Albumen print,albumen prints AAT:(300127121),10 in. x 6 11/16 in. (25.4 cm x 16.99 cm),,The Lunder Collection,
237,028.2007,Alex Katz,,Morning,2001,2007,Woodblock on paper (rives bfk),"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",35 3/4 in. x 35 in. (90.81 cm x 88.9 cm),,Promised Gift of the Artist,
6240,028.2008,John Coffer,,Blacksmith Tools and Forge,2002,2008,Tintype,tintypes (prints) AAT:(300134759),11 1/4 in. x 13 1/4 in. (28.58 cm x 33.66 cm),,The Lunder Collection,
6657,028.2009,James McNeill Whistler,,"Palaces, Brussels",1887,2009,Etching and drypoint in brown ink on off-white laid paper: first state (of two),"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(220 x 140mm; 223 x 140 mm),,The Lunder Collection,
